smk_preg_2_denom_2012_14, brstfed_3_mon_1_count_2014_15, brstfed_6_mon_1_count_2014_15, ste_name, brstfed_6_mon_2_denom_2014_15, brstfed_3_mon_2_denom_2014_15, solids_4_mon_3_percent_2014_15, smk_preg_3_percent_2012_14, solids_4_mon_1_count_2014_15, solids_4_mon_2_denom_2014_15, smk_preg_1_count_2012_14, solids_4_mon_4_rrmse_2014_15, brstfed_3_mon_4_rrmse_2014_15, lga_code, lga_name, brstfed_6_mon_3_percent_2014_15, low_bweigt_1_count_2012_14, brstfed_3_mon_3_percent_2014_15, low_bweigt_2_denom_2012_14, brstfed_6_mon_4_rrmse_2014_15, low_bweigt_3_percent_2012_14
3773,1684,586,"nsw",2099,2373,7.6,1.3,391,5171,50,3,3,11520,"Canada Bay (A)",27.9,185,70.9,3791,3,4.9
6801,2800,1110,"nsw",3757,4249,8.1,4.3,779,9647,293,3,3,11550,"Canterbury (C)",29.6,378,65.9,6712,3,5.6
102,37,15,"nsw",51,57,8.3,15.6,11,135,16,2,1,11600,"Carrathool (A)",29.8,5,63.9,99,1,4.7
52,21,9,"nsw",33,37,10.5,65.7,9,89,34,2,2,11700,"Central Darling (A)",27.3,null,56.4,null,2,null
2267,746,260,"nsw",1144,1294,9.9,22.8,303,3074,517,3,3,11720,"Cessnock (C)",22.7,116,57.6,2151,3,5.4
1487,462,163,"nsw",714,808,10.0,20.2,189,1896,300,3,3,11730,"Clarence Valley (A)",22.8,82,57.2,1467,3,5.6
211,74,39,"nsw",112,126,9.2,22.7,27,288,48,1,1,11750,"Cobar (A)",34.4,11,58.8,197,1,5.6
2448,883,282,"nsw",1232,1394,9.6,14.5,321,3326,355,3,3,11800,"Coffs Harbour (C)",22.9,104,63.3,2391,3,4.4
null,22,7,"nsw",28,32,8.7,null,6,71,null,2,2,11860,"Conargo (A)",25.6,null,70.0,null,1,null
135,58,20,"nsw",76,86,8.8,16.6,17,198,22,2,1,12000,"Coolamon (A)",26.6,6,68.3,131,1,4.4
235,105,31,"nsw",155,175,8.7,25.4,37,425,60,1,3,12050,"Cooma-Monaro (A)",20.1,10,60.1,229,3,4.3
214,63,33,"nsw",95,108,9.2,36.5,23,246,78,1,1,12150,"Coonamble (A)",34.4,19,58.8,172,1,11.0
217,86,22,"nsw",124,141,9.3,21.8,31,338,47,1,1,12200,"Cootamundra (A)",17.6,5,61.2,184,1,2.7
null,136,32,"nsw",178,201,8.7,null,41,464,null,1,1,12300,"Corowa Shire (A)",17.9,null,67.5,null,3,null
434,128,37,"nsw",193,219,9.2,26.4,47,515,115,1,3,12350,"Cowra (A)",19.3,17,58.5,395,3,4.3
198,82,32,"nsw",133,150,9.5,23.7,31,328,47,1,3,12500,"Deniliquin (A)",24.1,null,54.6,null,3,null
1937,657,174,"nsw",919,1040,9.6,22.3,231,2408,432,3,3,12600,"Dubbo (C)",18.9,105,63.2,1594,3,6.6
258,112,24,"nsw",136,154,8.5,12.0,33,387,31,1,3,12700,"Dungog (A)",17.6,12,72.8,245,3,4.9
869,301,86,"nsw",442,500,9.8,25.7,124,1260,223,3,3,12750,"Eurobodalla (A)",19.4,35,60.3,843,3,4.1
7799,2869,991,"nsw",4064,4597,9.4,7.3,1021,10815,566,3,3,12850,"Fairfield (C)",24.4,365,62.4,7638,3,4.8
385,129,54,"nsw",190,214,9.3,23.1,47,507,89,1,1,12900,"Forbes (A)",28.7,10,60.0,340,3,3.0
151,42,14,"nsw",67,76,10.1,22.7,19,188,34,2,2,12950,"Gilgandra (A)",20.3,6,55.3,120,1,4.9
304,96,19,"nsw",135,153,10.0,26.0,35,354,79,1,1,13010,"Glen Innes Severn (A)",14.1,8,62.7,263,1,3.0
126,37,15,"nsw",61,69,9.5,19.8,17,175,25,1,1,13050,"Gloucester (A)",25.0,null,54.1,null,1,null
5649,2361,633,"nsw",3059,3459,8.6,11.4,701,8107,643,3,3,13100,"Gosford (C)",20.7,267,68.2,5613,3,4.7
850,343,95,"nsw",490,554,9.7,22.8,129,1324,194,1,3,13310,"Goulburn Mulwaree (A)",19.4,45,61.8,833,3,5.4
862,291,96,"nsw",433,490,10.0,22.3,118,1190,192,3,3,13320,"Great Lakes (A)",22.2,50,59.5,842,3,6.0
41,129,45,"nsw",171,194,8.8,20.1,39,444,8,1,1,13340,"Greater Hume Shire (A)",26.3,null,66.7,null,3,null
1556,475,150,"nsw",726,821,10.3,25.5,200,1942,397,3,3,13380,"Greater Taree (C)",20.6,89,57.9,1520,3,5.9
1157,403,122,"nsw",593,671,8.6,15.7,128,1492,182,3,3,13450,"Griffith (C)",20.5,58,60.1,1136,3,5.1
110,43,11,"nsw",62,70,9.3,22.4,16,169,25,2,2,13500,"Gundagai (A)",17.6,null,61.2,null,2,null
571,180,48,"nsw",257,291,9.7,23.4,68,707,134,1,3,13550,"Gunnedah (A)",18.8,24,62.0,524,3,4.7
132,50,12,"nsw",72,81,9.3,27.5,18,197,36,1,1,13650,"Guyra (A)",17.3,8,61.6,128,1,6.0
161,62,26,"nsw",93,105,8.4,19.4,21,248,31,1,1,13660,"Gwydir (A)",27.7,5,59.7,151,3,3.3
75,47,12,"nsw",66,74,9.3,19.7,16,173,15,2,1,13700,"Harden (A)",18.7,null,63.1,null,1,null
2492,931,253,"nsw",1286,1455,8.5,13.0,287,3390,323,3,3,13800,"Hawkesbury (C)",19.7,108,64.0,2468,3,4.4
75,39,18,"nsw",60,68,9.2,35.5,13,141,27,2,1,13850,"Hay (A)",29.2,6,56.8,73,1,8.1
6139,2774,864,"nsw",3390,3833,8.2,6.5,689,8355,399,3,3,13950,"Holroyd (C)",25.5,357,72.4,6118,3,5.8
5496,2599,746,"nsw",3147,3559,7.5,2.0,630,8380,110,3,3,14000,"Hornsby (A)",23.7,243,73.0,5490,3,4.4
410,193,84,"nsw",249,282,7.5,1.6,53,704,7,1,3,14100,"Hunters Hill (A)",33.6,18,68.7,415,3,4.4
3502,1455,475,"nsw",1823,2062,8.2,4.3,388,4720,151,3,3,14150,"Hurstville (C)",26.1,169,70.6,3476,3,4.9
671,188,68,"nsw",298,337,10.5,26.5,88,837,178,1,3,14200,"Inverell (A)",22.9,44,55.6,661,3,6.6
null,19,5,"nsw",25,28,8.6,null,6,66,null,2,2,14250,"Jerilderie (A)",20.3,null,66.7,null,2,null
185,69,18,"nsw",100,113,9.3,22.9,25,271,42,2,1,14300,"Junee (A)",17.7,8,61.3,182,1,4.4
1019,308,59,"nsw",451,510,11.4,31.3,140,1229,319,3,3,14350,"Kempsey (A)",13.1,46,60.4,887,3,5.2
542,263,81,"nsw",343,388,8.2,6.7,76,931,36,1,3,14400,"Kiama (A)",23.7,30,67.6,545,3,5.5
2479,953,361,"nsw",1201,1358,7.9,3.4,245,3089,84,3,3,14450,"Kogarah (C)",30.0,141,70.2,2488,3,5.7
2845,1369,549,"nsw",1744,1972,7.4,0.7,361,4907,19,3,3,14500,"Ku-ring-gai (A)",31.5,132,69.4,2845,3,4.6
283,95,25,"nsw",131,148,9.6,20.5,37,387,58,1,1,14550,"Kyogle (A)",19.1,16,63.8,275,1,5.8
316,91,38,"nsw",134,151,9.3,25.8,33,358,82,1,1,14600,"Lachlan (A)",28.7,9,59.9,285,3,3.3
7040,2686,848,"nsw",3640,4117,9.0,12.7,864,9607,895,3,3,14650,"Lake Macquarie (C)",23.3,441,65.2,7067,3,6.2
1284,649,272,"nsw",795,899,7.5,1.2,153,2047,15,1,3,14700,"Lane Cove (A)",34.1,72,72.2,1288,3,5.6
411,139,40,"nsw",212,240,9.9,19.0,54,546,78,1,1,14750,"Leeton (A)",19.1,17,57.9,346,3,4.9
2906,1098,511,"nsw",1546,1748,7.6,1.9,282,3730,54,3,3,14800,"Leichhardt (A)",33.1,156,62.8,2929,3,5.3
1439,485,189,"nsw",729,825,9.5,17.7,185,1947,254,3,3,14850,"Lismore (C)",25.9,76,58.8,1432,3,5.3
699,219,53,"nsw",328,371,9.8,25.9,85,867,181,3,3,14870,"Lithgow (C)",16.1,41,58.9,665,3,6.2
9444,3831,1044,"nsw",5100,5768,8.8,8.6,1165,13185,809,3,3,14900,"Liverpool (C)",20.5,627,66.4,9436,3,6.6
261,68,25,"nsw",123,139,9.5,21.1,30,316,55,1,1,14920,"Liverpool Plains (A)",20.4,16,49.0,253,1,6.3
96,44,16,"nsw",56,63,8.7,15.6,13,146,15,2,1,14950,"Lockhart (A)",27.9,null,69.4,null,1,null
3201,1293,372,"nsw",1647,1862,8.7,14.5,373,4297,465,3,3,15050,"Maitland (C)",22.6,148,69.4,2967,3,5.0
1945,781,352,"nsw",1047,1184,7.4,0.9,198,2668,18,1,3,15150,"Manly (A)",33.6,66,66.0,1937,3,3.4
3345,1300,447,"nsw",1735,1962,7.8,4.3,333,4256,144,3,3,15200,"Marrickville (A)",25.8,182,66.3,3357,3,5.4
937,344,83,"nsw",491,555,9.1,20.5,116,1271,192,3,3,15270,"Mid-Western Regional (A)",17.0,32,62.0,882,3,3.6
627,212,70,"nsw",308,348,9.9,29.4,81,816,184,3,3,15300,"Moree Plains (A)",22.9,23,60.9,577,3,3.9
985,370,195,"nsw",536,606,7.5,0.7,101,1341,7,1,3,15350,"Mosman (A)",36.4,36,61.0,991,3,3.6
null,101,33,"nsw",127,144,8.7,null,28,323,null,1,3,15500,"Murray (A)",25.6,null,70.0,null,3,null
89,32,13,"nsw",44,50,8.3,15.4,10,118,14,2,1,15550,"Murrumbidgee (A)",29.8,null,64.0,null,1,null
797,254,83,"nsw",373,422,8.9,20.8,85,951,166,3,3,15650,"Muswellbrook (A)",22.3,30,60.2,667,3,4.5
572,191,43,"nsw",270,306,10.4,23.1,76,728,132,1,3,15700,"Nambucca (A)",15.9,18,62.4,412,3,4.4
584,215,85,"nsw",302,342,8.9,28.1,68,758,164,1,3,15750,"Narrabri (A)",28.1,28,63.1,538,3,5.1
214,73,20,"nsw",113,128,10.0,27.8,29,290,59,1,1,15800,"Narrandera (A)",18.0,9,57.3,196,1,4.4
308,63,20,"nsw",101,114,10.1,27.6,29,284,85,1,1,15850,"Narromine (A)",20.3,17,55.3,259,1,6.5
6069,2293,770,"nsw",2993,3384,8.6,11.5,666,7728,699,3,3,15900,"Newcastle (C)",25.7,364,67.7,6081,3,6.0
3066,1255,605,"nsw",1633,1847,7.6,1.2,271,3583,37,3,3,15950,"North Sydney (A)",37.1,153,67.9,3074,3,5.0
164,71,15,"nsw",97,110,8.9,23.1,21,236,38,1,3,16100,"Oberon (A)",15.5,7,65.1,161,1,4.4
1980,659,230,"nsw",913,1033,9.0,19.3,216,2390,382,3,3,16150,"Orange (C)",25.1,109,63.8,1944,3,5.6
188,214,59,"nsw",293,332,8.0,13.8,63,782,26,1,3,16180,"Palerang (A)",20.3,null,64.5,178,3,null
628,211,80,"nsw",288,326,9.3,23.5,72,780,148,1,3,16200,"Parkes (A)",27.6,29,64.5,545,3,5.4
9676,4035,1220,"nsw",5088,5755,8.0,5.5,1025,12773,536,3,3,16250,"Parramatta (C)",24.0,506,70.1,9657,3,5.2
8725,3473,851,"nsw",4690,5305,9.1,14.4,1101,12114,1253,3,3,16350,"Penrith (C)",18.1,546,65.5,8694,3,6.3
1950,868,320,"nsw",1053,1191,8.0,2.8,239,3001,54,3,3,16370,"Pittwater (A)",30.4,74,72.9,1946,3,3.8
2215,748,239,"nsw",1066,1205,9.2,14.6,273,2969,324,3,3,16380,"Port Macquarie-Hastings (A)",22.4,109,62.0,2199,3,5.0
2288,803,188,"nsw",1141,1290,9.2,16.3,286,3115,373,3,3,16400,"Port Stephens (A)",16.5,156,62.3,2274,3,6.9
818,638,167,"nsw",865,979,8.5,16.9,178,2100,138,3,3,16470,"Queanbeyan (C)",19.3,13,65.2,792,3,1.6
5914,2102,904,"nsw",2889,3267,8.0,2.7,578,7266,157,3,3,16550,"Randwick (C)",31.3,332,64.3,6005,3,5.5
864,233,80,"nsw",380,430,10.2,26.4,112,1100,228,3,3,16610,"Richmond Valley (A)",21.1,60,54.2,856,3,7.0
4884,2057,746,"nsw",2660,3008,8.0,4.8,523,6567,234,3,3,16650,"Rockdale (C)",28.1,305,68.4,4867,3,6.3
4495,1953,643,"nsw",2401,2716,7.6,1.7,460,6060,75,3,3,16700,"Ryde (C)",26.8,243,71.9,4486,3,5.4
2535,913,295,"nsw",1295,1465,9.4,16.0,322,3433,405,3,3,16900,"Shellharbour (C)",22.8,151,62.3,2525,3,6.0
2979,1014,292,"nsw",1492,1687,9.6,17.7,387,4023,528,3,3,16950,"Shoalhaven (C)",19.6,120,60.1,2868,3,4.2
1033,374,118,"nsw",544,615,8.6,12.8,118,1385,133,3,3,17000,"Singleton (A)",21.7,28,60.8,824,3,3.4
184,68,25,"nsw",107,121,7.6,11.1,21,285,20,1,1,17050,"Snowy River (A)",23.6,null,56.5,null,3,null
2262,1044,378,"nsw",1440,1628,9.2,13.6,351,3799,307,3,3,17550,"Tweed (A)",26.3,73,64.1,1983,3,3.7
542,184,41,"nsw",249,281,8.6,16.1,60,699,87,1,3,17620,"Upper Hunter Shire (A)",16.5,16,65.4,430,3,3.7
122,74,18,"nsw",112,126,8.4,9.5,26,306,12,1,1,17640,"Upper Lachlan Shire (A)",16.3,null,58.8,null,1,null
157,67,20,"nsw",91,103,9.0,15.5,22,248,24,1,3,17650,"Uralla (A)",21.5,11,64.5,157,3,6.9
null,14,null,"nsw",null,22,9.0,null,5,50,null,null,2,17700,"Urana (A)",null,null,65.3,null,null,null
2493,945,250,"nsw",1289,1458,9.1,16.3,305,3340,407,3,3,17750,"Wagga Wagga (C)",19.4,137,64.8,2492,3,5.5
22,57,19,"nsw",74,83,8.8,20.3,16,185,5,1,1,17800,"Wakool (A)",26.2,null,68.1,22,1,null
104,34,7,"nsw",46,53,8.6,16.4,11,126,17,1,1,17850,"Walcha (A)",14.8,9,64.5,101,1,8.4
250,null,null,"nsw",null,null,null,37.5,null,null,94,null,null,17900,"Walgett (A)",null,12,null,226,null,5.4
121,42,21,"nsw",63,72,9.3,27.1,15,164,33,2,2,17950,"Warren (A)",33.8,7,58.6,103,1,7.1
6143,2597,943,"nsw",3385,3828,7.5,2.2,660,8764,137,3,3,18000,"Warringah (A)",27.9,253,67.8,6117,3,4.1
287,101,31,"nsw",157,178,9.9,26.6,43,436,76,1,1,18020,"Warrumbungle Shire (A)",19.6,18,56.9,256,1,7.1
3305,1181,563,"nsw",1632,1845,7.6,1.7,304,3998,57,3,3,18050,"Waverley (A)",34.5,157,64.0,3329,3,4.7
100,44,19,"nsw",60,68,8.5,18.2,14,166,18,2,1,18100,"Weddin (A)",30.8,null,64.9,null,1,null
354,97,29,"nsw",152,172,10.6,31.7,45,424,112,1,3,18150,"Wellington (A)",19.1,27,56.4,316,1,8.5
5,87,39,"nsw",135,153,9.2,null,29,316,null,1,1,18200,"Wentworth (A)",29.2,null,56.8,null,3,null
1565,686,253,"nsw",868,981,7.7,1.9,162,2095,30,3,3,17100,"Strathfield (A)",29.2,100,69.9,1560,3,6.4
8390,3731,1111,"nsw",4535,5129,7.8,3.4,920,11848,284,3,3,17150,"Sutherland Shire (A)",24.5,362,72.8,8331,3,4.3
6297,2242,930,"nsw",3175,3590,8.1,3.5,581,7203,219,3,3,17200,"Sydney (C)",29.3,367,62.4,6333,3,5.8
2422,800,213,"nsw",1156,1307,10.0,21.4,304,3042,518,3,3,17310,"Tamworth Regional (A)",18.4,124,61.2,2338,3,5.3
216,68,17,"nsw",98,111,9.3,22.4,25,266,48,2,1,17350,"Temora (A)",17.6,5,61.2,187,1,2.4
53,75,15,"nsw",106,120,10.0,35.8,28,279,19,1,1,17400,"Tenterfield (A)",14.1,7,62.7,53,1,13.2
6086,3006,820,"nsw",3588,4058,7.6,2.3,743,9774,140,3,3,17420,"The Hills Shire (A)",22.9,274,74.1,6079,3,4.5
78,37,14,"nsw",53,60,8.2,22.8,13,152,18,1,1,17450,"Tumbarumba (A)",26.6,null,61.6,null,1,null
350,131,46,"nsw",196,221,9.1,28.0,49,544,98,3,3,17500,"Tumut Shire (A)",23.3,11,59.4,323,3,3.4
2940,1294,548,"nsw",1592,1800,7.6,1.0,318,4165,28,3,3,18250,"Willoughby (C)",34.4,159,71.9,2954,3,5.4
1258,458,158,"nsw",669,756,8.7,10.4,159,1832,131,3,3,18350,"Wingecarribee (A)",23.6,39,60.5,1210,3,3.2
1706,732,200,"nsw",986,1115,8.4,11.3,220,2625,193,3,3,18400,"Wollondilly (A)",20.3,57,65.7,1655,3,3.4
7184,2828,808,"nsw",3669,4149,8.6,12.2,832,9649,880,3,3,18450,"Wollongong (C)",22.0,347,68.2,7143,3,4.9
2066,854,407,"nsw",1170,1323,7.6,0.9,216,2848,18,3,3,18500,"Woollahra (A)",34.8,98,64.5,2080,3,4.7
5834,2074,717,"nsw",3023,3419,9.6,16.5,785,8171,963,3,3,18550,"Wyong (A)",23.7,297,60.7,5753,3,5.2
61,223,61,"nsw",284,321,7.8,10.0,60,771,6,3,3,18710,"Yass Valley (A)",21.7,null,69.4,57,3,null
401,156,41,"nsw",222,251,9.4,24.0,55,589,96,1,3,18750,"Young (A)",18.4,13,62.3,379,1,3.4
23,null,null,"nsw",null,null,null,51.4,null,null,12,null,null,19399,"Unincorporated NSW",null,null,null,null,null,null
301,109,33,"vic",158,178,6.4,15.4,26,408,46,1,3,20110,"Alpine (S)",21.0,20,61.3,304,3,6.4
347,114,52,"vic",170,192,7.0,35.6,31,444,123,1,3,20260,"Ararat (RC)",30.6,15,59.4,348,3,4.3
3845,1514,458,"vic",2081,2354,7.0,42.0,382,5490,1614,3,3,20570,"Ballarat (C)",22.0,299,64.3,3881,3,7.7
4960,2037,544,"vic",2735,3093,6.2,4.7,392,6359,234,3,3,20660,"Banyule (C)",19.9,269,65.9,5003,3,5.4
991,358,111,"vic",529,598,6.6,22.8,95,1431,226,3,3,20740,"Bass Coast (S)",20.9,57,59.9,997,3,5.7
1641,643,244,"vic",922,1042,6.7,23.0,164,2456,377,3,3,20830,"Baw Baw (S)",26.5,91,61.7,1657,3,5.5
2855,1162,514,"vic",1761,1992,5.9,4.3,247,4216,124,3,3,20910,"Bayside (C)",29.2,170,58.3,2902,3,5.9
401,132,38,"vic",202,228,7.8,23.0,42,544,92,3,3,21010,"Benalla (RC)",18.6,34,57.8,406,3,8.3
4619,1816,831,"vic",2648,2994,5.8,4.4,367,6373,201,3,3,21110,"Boroondara (C)",31.4,271,60.6,4684,3,5.8
8521,3280,1160,"vic",4667,5278,6.9,10.5,734,10661,894,3,3,21180,"Brimbank (C)",24.9,617,62.1,8608,3,7.2
179,67,34,"vic",105,118,6.7,26.7,17,257,48,1,1,21270,"Buloke (S)",32.8,9,56.3,180,1,4.9
1328,427,110,"vic",670,758,7.3,27.7,128,1760,367,3,3,21370,"Campaspe (S)",16.5,79,56.3,1342,3,5.9
4209,1671,634,"vic",2538,2870,6.4,33.6,379,5898,1413,3,3,21450,"Cardinia (S)",25.0,257,58.2,4247,3,6.1
13068,5523,1724,"vic",7733,8746,6.4,25.7,1149,17819,3352,3,3,21610,"Casey (C)",22.3,845,63.2,13182,3,6.4
395,117,47,"vic",194,219,8.0,32.6,44,544,128,3,3,21670,"Central Goldfields (S)",24.0,29,53.5,401,3,7.2
737,250,75,"vic",350,396,6.6,21.0,62,942,155,3,3,21750,"Colac-Otway (S)",21.4,34,63.1,740,3,4.6
528,197,65,"vic",266,301,6.7,20.5,50,741,108,1,3,21830,"Corangamite (S)",24.6,39,65.7,533,3,7.4
6413,2321,740,"vic",3399,3845,6.2,6.4,472,7611,411,3,3,21890,"Darebin (C)",21.8,417,60.4,6482,3,6.4
1342,476,139,"vic",694,785,7.0,22.2,131,1861,297,3,3,22110,"East Gippsland (S)",20.0,118,60.6,1363,3,8.6
5717,2166,672,"vic",3071,3473,6.7,21.9,479,7125,1253,3,3,22170,"Frankston (C)",21.9,371,62.4,5778,3,6.4
290,108,56,"vic",170,192,6.7,26.7,28,417,77,1,1,22250,"Gannawarra (S)",32.8,14,56.3,293,3,4.9
4191,1590,516,"vic",2265,2562,7.1,39.8,422,5964,1669,3,3,22620,"Greater Bendigo (C)",22.8,284,62.1,4240,3,6.7
7029,2684,832,"vic",3856,4361,6.6,11.4,565,8565,799,3,3,22670,"Greater Dandenong (C)",21.6,490,61.6,7060,3,6.9
8374,3334,1087,"vic",4536,5130,6.7,35.9,788,11828,3006,3,3,22750,"Greater Geelong (C)",24.0,509,65.0,8442,3,6.0
2705,984,250,"vic",1397,1580,7.1,23.6,258,3623,639,3,3,22830,"Greater Shepparton (C)",17.9,156,62.3,2745,3,5.7
427,157,56,"vic",225,254,6.7,31.2,44,650,133,3,3,22910,"Hepburn (S)",24.9,35,61.9,429,3,8.2
139,50,31,"vic",75,85,6.6,22.2,14,206,31,1,1,22980,"Hindmarsh (S)",41.2,8,59.2,140,1,5.8
3895,1615,526,"vic",2279,2577,6.3,8.7,327,5175,340,3,3,23110,"Hobsons Bay (C)",23.1,203,62.7,3934,3,5.2
750,296,115,"vic",404,456,6.7,22.6,71,1056,170,3,3,23190,"Horsham (RC)",28.5,40,64.8,759,3,5.3
8613,3615,1363,"vic",5233,5918,6.5,13.4,783,11963,1150,3,3,23270,"Hume (C)",26.0,625,61.1,8724,3,7.2
430,160,51,"vic",217,245,6.5,8.6,42,645,37,3,3,23350,"Indigo (S)",23.5,32,65.4,438,3,7.3
5741,2371,632,"vic",3143,3555,6.0,6.8,439,7346,392,3,3,23430,"Kingston (C)",20.1,343,66.7,5830,3,5.9
5521,2414,626,"vic",3045,3444,6.2,11.0,439,7080,606,3,3,23670,"Knox (C)",20.6,344,70.1,5573,3,6.2
2889,1007,319,"vic",1470,1662,7.7,27.0,299,3893,781,3,3,23810,"Latrobe (C)",21.7,209,60.6,2913,3,7.2
235,70,39,"vic",108,123,6.8,41.3,20,298,97,1,3,23940,"Loddon (S)",35.9,10,57.2,236,3,4.2
1416,581,187,"vic",845,955,6.2,12.0,132,2139,170,3,3,24130,"Macedon Ranges (S)",22.1,73,60.8,1433,3,5.1
3189,1381,484,"vic",1833,2073,5.9,4.0,253,4289,128,3,3,24210,"Manningham (C)",26.4,195,66.6,3235,3,6.0
240,105,28,"vic",146,165,6.6,13.3,25,381,32,1,3,24250,"Mansfield (S)",19.3,9,63.5,242,3,3.6
4271,1597,463,"vic",2241,2535,6.3,8.4,316,5039,360,3,3,24330,"Maribyrnong (C)",20.7,293,63.0,4321,3,6.8
4411,1944,450,"vic",2517,2847,6.1,8.1,355,5787,356,3,3,24410,"Maroondah (C)",17.9,278,68.3,4462,3,6.2
3579,1147,477,"vic",1654,1871,6.1,7.3,205,3349,262,3,3,24600,"Melbourne (C)",28.8,257,61.3,3625,3,7.1
6210,2713,764,"vic",3750,4241,6.7,15.5,590,8791,964,3,3,24650,"Melton (S)",20.4,424,64.0,6275,3,6.8
2117,707,221,"vic",1079,1221,7.3,25.0,207,2849,530,3,3,24780,"Mildura (RC)",20.5,140,57.9,2133,3,6.6
1390,556,157,"vic",805,911,6.7,15.5,137,2039,215,3,3,24850,"Mitchell (S)",19.5,102,61.0,1407,3,7.2
1033,352,104,"vic",526,595,6.9,22.3,101,1461,230,3,3,24900,"Moira (S)",19.8,62,59.2,1048,3,5.9
5708,2511,769,"vic",3255,3681,6.0,5.7,456,7570,324,3,3,24970,"Monash (C)",23.6,366,68.2,5753,3,6.4
4237,1691,528,"vic",2310,2613,6.3,9.6,342,5413,407,3,3,25060,"Moonee Valley (C)",22.9,251,64.7,4304,3,5.8
