y_1990_91, y_2005_06, y_1998_99, y_1989_90, y_2000_01, state, y_1991_92, lga_name, y_1995_96, y_2002_03, y_1985_86, y_1997_98, y_1986_87, y_1996_97, state_code, y_1987_88, y_1994_95, y_1982_83, y_1980_81, y_1988_89, y_2003_04, y_2001_02, lga_code, y_1993_94, y_1992_93, y_1981_82, y_1984_85, y_1983_84, y_1999_00, y_2004_05, objectid
40287.0300869171,47241.4126439896,46671.5139207574,40784.5508909316,46972.8143852377,"NSW                                                                                                                                                                                                                                                            ",40557.7899800652,"Parramatta (C)                                    ",41981.0668253992,46415.1848025296,41290.4807925,44788.9658182535,40549.9520535939,42660.3666679344,"1                                                                                                                                                                                                                                                              ",40965.6740591314,42312.1676315366,42083.3452442379,42069.272381658,41220.608752097,47305.8822902282,46448.6587733201,16250,42421.9250296923,41062.3223635625,42773.2542217317,42095.0094699862,41230.5200902203,47515.5105446447,47524.9247313392,108
39568.0199800861,46158.7313410279,45463.8947311539,39684.4331085106,44655.4839870655,"NSW                                                                                                                                                                                                                                                            ",39703.5754925392,"Penrith (C)                                       ",40825.1867146472,44594.4709173803,40766.0142654613,43742.3117808387,39842.2314162125,41709.8238749965,"1                                                                                                                                                                                                                                                              ",40035.8932546326,41381.2155246673,41527.1767389396,41319.2788533654,40597.0372611904,45859.6934113124,44547.0518755274,16350,41501.1755495433,40375.0657121785,42273.2458245883,41579.5462257268,40624.3287726626,45866.2120697636,46316.7429768619,109
30934.9316095509,37803.7103477035,35571.7678117874,31571.3517892309,36049.1102836831,"NSW                                                                                                                                                                                                                                                            ",30551.7421198726,"Bellingen (A)                                     ",32512.6746724511,37294.1913292405,32540.6773656635,34092.3075549969,31697.4599515435,32405.9503979413,"1                                                                                                                                                                                                                                                              ",31285.4262634182,32636.7005121161,34376.9961214696,34426.9556471416,31696.3529081496,37326.0610902225,36688.4048424974,10600,33506.2413310681,31542.5252679662,34089.7973040943,33511.1255148669,32919.851432241,35595.280838167,37719.3148166731,11
47224.7860488441,69245.1124511451,60396.2998473922,47812.0434883515,66182.2425968966,"NSW                                                                                                                                                                                                                                                            ",47017.5705878518,"Pittwater (A)                                     ",52729.6462060246,63173.1137188518,44421.8369560676,56638.918902635,44734.4106876319,54132.4597902115,"1                                                                                                                                                                                                                                                              ",47734.0037406925,51779.3084744106,43675.6079821721,43768.9990986714,51174.1434891701,66243.8638053679,62744.7826443205,16370,50435.8942045042,48182.8069868883,43966.25763304,44371.1920256479,42937.0232291088,63065.1502082118,68729.599924601,110
37958.982669438,45750.5639893379,44153.8110065675,37951.1733200656,43951.2754677828,"NSW                                                                                                                                                                                                                                                            ",38275.2339295081,"Port Stephens (A)                                 ",39492.1414792655,44300.1953265255,39732.2914123243,42497.1117178166,38882.6474678311,40091.3676664984,"1                                                                                                                                                                                                                                                              ",38449.4350026371,40333.2262776845,41600.3920118168,41158.4878035317,38579.8394610228,45225.9511980976,43396.8885772256,16400,40368.6289073947,38759.7269439462,42301.4573252984,40355.2170776882,40060.3747114168,43736.9690607743,45690.209814009,111
38939.1489627512,53878.9649746015,47425.7843300197,39017.2475,48166.1398521194,"NSW                                                                                                                                                                                                                                                            ",40197.5925130854,"Queanbeyan (C)                                    ",42911.0884113443,49544.3133414051,41594.8828496701,45290.8292811952,40854.383700299,44037.0831344542,"1                                                                                                                                                                                                                                                              ",41205.3894569153,42856.8697706463,40135.8278217062,39634.7071361065,40593.4607075344,51578.519926507,48548.9963400201,16470,42934.9229330702,41423.0194187548,40331.8412598023,41613.0903646033,39980.1655723601,48654.7381399224,53385.9196252272,112
41598.4731244794,59929.0749807893,51797.6111854196,41811.3126025256,55071.9226411581,"NSW                                                                                                                                                                                                                                                            ",42002.0719831321,"Randwick (C)                                      ",45130.9145522956,55112.4519469613,41367.4031280679,49692.2330280484,41154.1307071622,46825.5843922039,"1                                                                                                                                                                                                                                                              ",41512.9637709996,44780.2880261131,42198.6012252069,41618.1990925875,42696.8128114966,56417.4545743068,53884.7459043737,16550,44284.0652150317,42867.5250039785,42488.2476613327,41603.7743287385,41022.6244069492,53455.4164772198,58709.9367313554,113
31635.4551631078,37151.6355385889,36327.5000347934,31567.4087484899,35440.7468045614,"NSW                                                                                                                                                                                                                                                            ",32016.5351785231,"Richmond Valley (A)                               ",32436.249099143,36463.474332951,33196.5006243851,35041.9922336856,32896.0229005049,32979.9388880067,"1                                                                                                                                                                                                                                                              ",32269.4093776061,34156.5905043783,36523.6448411501,37163.8499186152,31729.2842284734,37419.9228703731,35989.0974453507,16610,34111.8672673981,33066.9473724198,37318.2440442212,34454.7051089984,34469.8866914508,36214.6749191133,37070.6546135422,114
38859.0486561937,47088.8701367747,45785.5940733773,39184.0063754031,46338.0989183612,"NSW                                                                                                                                                                                                                                                            ",39085.7711525955,"Rockdale (C)                                      ",41107.3015227212,45659.6866422219,39451.7589438998,43695.0082387806,38773.7180423108,41847.4809661892,"1                                                                                                                                                                                                                                                              ",38834.5630164545,41222.0592348339,40500.1778249099,40259.3191565075,39534.4460052922,46646.5694113638,45378.5560266155,16650,41174.4960382036,39744.1082946033,40989.4165638756,40180.2252540951,39530.1409359582,46241.5111961715,47469.3662465123,115
42518.1402888993,55663.8934011541,51645.5516642268,42790.4859143176,53869.0181053419,"NSW                                                                                                                                                                                                                                                            ",42703.5141268516,"Ryde (C)                                          ",45527.1054267866,53100.0355768965,42441.3588137863,48878.4711783939,41753.3559931371,46675.2710589965,"1                                                                                                                                                                                                                                                              ",42718.1297176645,45483.4946837747,43059.4845664507,42412.7502427719,43443.7162112266,54364.361921265,53421.4056743653,16700,45046.3357924342,43605.9363619802,43271.9722453326,42875.4507415576,42180.1421319991,53005.7647473741,55172.4203366051,116
39501.9768409115,46657.5405434488,45967.7958559813,39503.5247846145,44273.9783921055,"NSW                                                                                                                                                                                                                                                            ",39815.8182933325,"Shellharbour (C)                                  ",42199.9269036279,44820.0517482467,41954.0577956564,44322.092517877,41238.623782214,42323.8733024179,"1                                                                                                                                                                                                                                                              ",40173.03808378,43085.6799977405,43502.5138591428,45269.2964127669,39729.9189961042,46128.2017374677,44267.6612152852,16900,42765.0401755974,40715.3561364702,45904.6080733117,42719.1319782203,41791.2089823428,44800.7897664414,46451.3980941069,117
34080.1759880887,42334.4042975067,39922.991587661,34733.4718437375,40377.4510576303,"NSW                                                                                                                                                                                                                                                            ",34541.106470115,"Shoalhaven (C)                                    ",35494.8050000499,40973.1147697289,35581.1720975808,37876.0461042831,34887.4095634257,36143.7471659293,"1                                                                                                                                                                                                                                                              ",34779.1076023201,36430.6341226712,38578.9958386884,38179.5582636939,35298.7618686505,42027.0514361842,40319.5589285211,16950,36830.189462614,35272.8718771182,38972.6661444798,36587.8470101848,36411.6793638654,39942.9395383657,42528.0890403748,118
48760.1403448178,57254.4797868581,56973.7409221721,47463.8058118482,55078.4355124663,"NSW                                                                                                                                                                                                                                                            ",48804.2503541549,"Singleton (A)                                     ",51252.3620127091,55552.6013083176,50439.9696184826,56080.9491805574,49661.9249612839,53987.9546829804,"1                                                                                                                                                                                                                                                              ",46782.1211385424,51459.2727064257,52377.4175138099,50436.7178979661,46192.1066730764,56388.0150441541,55370.1357591808,17000,51253.0168039003,49780.1875466258,52503.9426893571,51152.5928329486,50027.0883791209,55382.8331666154,55700.0575615236,119
30712.0202493936,40174.6644848467,36960.9825942195,33060.9984306249,39519.6495486036,"NSW                                                                                                                                                                                                                                                            ",31645.7281732008,"Berrigan (A)                                      ",34733.6336943372,38839.1684138281,33118.2197835235,35063.3167715762,33416.3577875606,33928.868082081,"1                                                                                                                                                                                                                                                              ",33679.0113823309,34318.7007264149,35331.0120706686,39428.6527388128,34205.4572903259,39740.5690096136,39638.4962294098,10650,34848.555527207,33033.8097862908,37992.4675436301,33357.7867685433,34067.1001166291,36717.3521563527,40147.2473358758,12
35212.4826357248,42604.9804352833,38502.3434992619,37232.1824010498,40003.634561205,"NSW                                                                                                                                                                                                                                                            ",34647.6474377905,"Snowy River (A)                                   ",35830.4370693602,42556.5640381609,38252.804153463,37043.7727465205,38341.6921098833,35881.4057394403,"1                                                                                                                                                                                                                                                              ",39512.611197949,35968.7060717289,38573.1218800015,39124.3303979916,39573.6616120583,42914.7001669753,39879.1045410947,17050,35740.8616618281,34890.6694417145,39483.7042670104,37651.569070979,37388.4054018909,39827.8035306166,42632.8635884214,120
42880.5799808616,52934.8796243898,51262.9371173374,43179.1555615955,53409.4550406418,"NSW                                                                                                                                                                                                                                                            ",43864.3026914395,"Strathfield (A)                                   ",44915.5804227745,52618.2240561866,42902.0028364306,48919.9249000069,42987.384468434,46559.2409040289,"1                                                                                                                                                                                                                                                              ",43326.557164349,45741.284226742,43189.893663947,43171.5436790081,45857.1097562586,53870.2340050963,53011.7863390512,17100,45805.6497852739,44122.1898150051,43320.7376655991,43220.2789057506,42413.0318788106,52155.5785465948,53287.8934156322,121
44006.3025252681,57038.490570231,53174.954849299,44689.5915123132,54303.8134379289,"NSW                                                                                                                                                                                                                                                            ",44428.1402469862,"Sutherland Shire (A)                              ",46813.7014060355,54185.4277085965,44120.5357794691,50636.8065144818,43476.76611949,48150.986657498,"1                                                                                                                                                                                                                                                              ",44875.6142732143,47206.9970258259,44886.0401608291,44789.8972405124,46041.6135566157,55481.9510115935,53664.0172131257,17150,46708.6752786111,45180.9211614746,45376.2593707689,44791.1369394195,43857.4228441653,54129.3955147448,56818.4195669976,122
43410.2148973522,60293.2369258683,55974.3368019749,43785.9797186339,59408.942150346,"NSW                                                                                                                                                                                                                                                            ",43707.2111764544,"Sydney (C)                                        ",47929.5175004275,58682.5065511712,43452.3822606195,53639.3052320238,43717.3652543851,50725.7649043109,"1                                                                                                                                                                                                                                                              ",44089.8414249139,47784.7838534412,41762.3184047643,41306.7365950678,46829.5172498884,59568.9798483606,60193.4194699899,17200,46464.409353022,44475.0966960602,42387.6750764178,43112.6936748256,41316.0095230544,58462.9936910908,61913.964344938,123
34834.4755249258,43122.7325613031,41000.1615100983,35636.7434372749,40985.6739371626,"NSW                                                                                                                                                                                                                                                            ",34820.0969335731,"Tamworth Regional (A)                             ",36426.9688237947,40790.5078996865,36556.6115036042,39915.5096069969,35723.6041232509,37909.6959897456,"1                                                                                                                                                                                                                                                              ",36022.5487573967,36967.4719922554,37969.8445333068,38568.5869539392,36364.4470239063,42348.9682683375,40778.8279195162,17310,37210.5168755371,35456.9223046961,38908.5008046392,37596.9670002327,37183.3279680129,41358.1370908202,43018.0733312397,124
31155.3089156842,38340.4554366438,35230.7736055602,35146.7831615469,38379.8825690851,"NSW                                                                                                                                                                                                                                                            ",31248.3374935999,"Temora (A)                                        ",34372.7264559473,37424.851636223,33314.656990273,34616.7878785732,34230.2434371524,34983.1520185775,"1                                                                                                                                                                                                                                                              ",35955.8829478085,32537.9616475311,35449.778085682,40117.4415683958,35572.9576728199,37678.8569913018,39602.8341593533,17350,33391.0034109946,32624.3102998451,40524.3773969004,34501.4072605771,36135.5718214721,36101.5423765825,37804.1072888547,125
30120.5489681983,36613.3399616235,35031.5993560596,32096.513123369,35224.6221118958,"NSW                                                                                                                                                                                                                                                            ",30220.0746821363,"Tenterfield (A)                                   ",31383.36876982,33968.6303930227,32137.9115776379,32913.4034176349,31173.6452061577,32403.0398068897,"1                                                                                                                                                                                                                                                              ",32448.0909369316,32466.0987819598,35324.9812478154,36868.2740733513,33281.1904682813,36509.9719570286,34608.5711523492,17400,32516.4844042946,30968.5747739062,36531.9525601529,33854.1379974023,33937.0582459151,34106.5720168909,36576.3733338166,126
31874.0508560781,43292.0255413286,38246.8890851831,33637.4358376487,40142.8113580039,"NSW                                                                                                                                                                                                                                                            ",34031.6180414915,"Tumbarumba (A)                                    ",34449.9713093108,40321.3369686425,34335.501687669,36150.1227731231,33888.4470673145,35550.162740028,"1                                                                                                                                                                                                                                                              ",34432.3860338866,35557.2839997583,36689.293267538,39539.1850282727,34628.161169879,41925.2212097045,40265.9018921637,17450,35135.5244150399,34197.4382038997,38313.4483656365,35267.717422158,35639.1498083179,38853.524740833,43229.9445483604,127
33368.133477202,44286.5471005525,40605.2629392822,34806.4037488158,41540.7159268259,"NSW                                                                                                                                                                                                                                                            ",33638.3589853297,"Tumut Shire (A)                                   ",36571.2724171819,42280.7760828767,36203.5081603468,38817.2725388711,35748.6098994179,36987.8889170942,"1                                                                                                                                                                                                                                                              ",36895.1244705185,37279.0206514233,37724.2906801756,38900.4699600919,35833.8714251506,43290.1009835295,42383.9394206631,17500,38828.8782809666,34973.4304160791,39556.4573094329,37140.9493110236,36407.4859476543,41311.5352391701,43879.774787499,128
32220.7891001866,40536.3622795245,37128.3016111522,32805.7259619556,37116.1267671557,"NSW                                                                                                                                                                                                                                                            ",32665.3232016159,"Tweed (A)                                         ",33090.426737049,37992.5360978033,33493.2760665076,35009.6302658786,33046.72342695,33445.1867879891,"1                                                                                                                                                                                                                                                              ",32440.1854007633,34285.7098874212,35704.7756511195,36693.0636327073,33634.1388028666,40128.462645086,37251.358018733,17550,34810.4737535091,33150.1322227143,36552.4467390465,33885.8459922899,33803.8542173851,37112.0007008582,40059.3530691527,129
38228.9103880833,44704.2275473442,44410.7793268151,38718.0434119304,43917.2757658361,"NSW                                                                                                                                                                                                                                                            ",38544.6667613129,"Blacktown (C)                                     ",39841.178270319,43487.6984638054,39546.7109669602,42676.6846814011,38630.7300671191,40639.0780289714,"1                                                                                                                                                                                                                                                              ",38718.2233040921,40137.4978794566,40371.9950369111,40322.1490552923,38958.9359948319,44453.3287588462,43405.8651261414,10750,40271.380953292,39113.2310954613,41205.7899271968,40236.7402965394,39462.8141797644,44744.0700351584,44895.0677543941,13
37624.4909507993,52198.9796150615,47856.1539293011,38325.1602303088,51274.1978562203,"NSW                                                                                                                                                                                                                                                            ",38329.5411235335,"Upper Hunter Shire (A)                            ",42205.6319713744,47658.743783213,38928.750868615,46389.465138627,38070.9571301031,41819.8075267255,"1                                                                                                                                                                                                                                                              ",38124.1198124929,41569.340121151,41519.8168480835,39131.1554072816,38867.2863265891,47577.6526465729,45670.2530059614,17620,41257.148534676,40108.4477166185,41124.8900169648,39080.1872439289,40031.718727904,49204.1580144515,48315.6989574278,130
36390.4868320199,41495.0476092311,37870.9969306692,40945.5158690594,42043.6305842097,"NSW                                                                                                                                                                                                                                                            ",35397.1051552023,"Upper Lachlan (A)                                 ",34282.2815764166,40638.2400795922,37835.2110268687,36142.7051641448,37392.2391401821,35037.4245149277,"1                                                                                                                                                                                                                                                              ",39506.2066549104,38587.7369744982,37112.0230156933,36335.316809725,42974.5044914261,41557.5666802358,42153.9392185361,17640,38074.9211938905,36270.7530364446,38102.4435050773,39182.2918182518,37583.0157316084,39131.514374506,41438.6684107319,131
32700.5285830702,41058.3237389806,39328.2641157224,37947.0149647079,41867.1373083194,"NSW                                                                                                                                                                                                                                                            ",31016.7518733095,"Uralla (A)                                        ",33006.2008756632,38749.1339273906,33670.2382729625,36994.1840858518,33272.7061768051,35698.7495567253,"1                                                                                                                                                                                                                                                              ",38806.0738735862,34195.2343525878,35215.1306301919,35941.4491351503,40767.9435532471,39722.936715113,38806.3059065475,17650,34162.2080627487,31723.9486981507,36013.1132711473,35922.6858441609,35340.7181428773,40092.5543274912,41117.0136078722,132
31089.7572985019,39905.0282286896,39149.9076607351,34287.0705930603,44157.7096982889,"NSW                                                                                                                                                                                                                                                            ",31436.4713073767,"Urana (A)                                         ",37321.3371302626,42041.9913238465,33940.5419587705,36219.1467460504,34209.2762215313,37813.471142733,"1                                                                                                                                                                                                                                                              ",35554.9200253886,33876.5958525062,35984.0142283846,39828.8606387272,35166.2976310555,42889.0080796982,43465.392063043,17700,35289.1349176049,32840.0559985689,38282.887368187,35082.8826818101,35489.4700043889,40260.3745000934,40481.7122711981,133
35781.3383247203,45157.1991861022,42880.5152557517,36772.4962392451,43525.7055280023,"NSW                                                                                                                                                                                                                                                            ",36532.6882483892,"Wagga Wagga (C)                                   ",38768.2346194243,43415.4729692682,37441.2663581644,41323.7133490051,37278.2101070413,39484.2913667152,"1                                                                                                                                                                                                                                                              ",37391.2050801551,39303.1348123942,38701.4209763017,39951.4774955833,37446.4946855121,44570.3606251051,43117.1080642086,17750,39389.13706573,37907.1450183697,40004.0132149604,38108.0360561826,38036.279186634,43155.6144845214,45587.3282950282,134
29790.5723372954,38226.4188967286,36013.4579804068,33684.2140693674,37040.0347933763,"NSW                                                                                                                                                                                                                                                            ",30117.0108286052,"Wakool (A)                                        ",32459.1925989865,36732.2537102245,32707.3902812068,34552.9101725175,33607.3451146595,32938.8108817931,"1                                                                                                                                                                                                                                                              ",35242.3072889451,33057.4153220528,34191.3923618379,38253.7434714097,34839.6945611526,37589.9120979219,38411.2327782264,17800,32880.866794982,30824.0141645011,37482.5091327614,33212.5345702799,34362.7006320244,36543.8004981906,37854.2094678598,135
33945.8029557042,42390.9642341649,36918.837583977,39954.4492559054,44149.6314892987,"NSW                                                                                                                                                                                                                                                            ",30849.6756694576,"Walcha (A)                                        ",32374.0734038072,38779.1091241527,33530.808166497,35945.874192084,33962.2988398621,34511.6161069449,"1                                                                                                                                                                                                                                                              ",43341.1882584881,33862.1114210345,34987.8581334004,35207.0058468812,45424.9904439256,41695.5463603305,42229.8749832436,17850,33583.3531591658,31141.0130218131,35513.6297140124,36255.4806472393,35669.1590056619,41077.5789290788,42398.5815138423,136
32491.9907231039,39945.1655339048,36800.3472539297,36149.5108675535,38908.6312109043,"NSW                                                                                                                                                                                                                                                            ",31611.036870907,"Walgett (A)                                       ",34614.2849923502,37892.0273896524,34360.6590339973,36739.6055330932,33389.2341013679,37609.0108455513,"1                                                                                                                                                                                                                                                              ",37311.8380466253,32694.4748788428,35800.0583665391,37399.8417888691,39704.6257925396,39566.8442159827,40405.2681031555,17900,34337.9998229768,32187.4829131773,39224.5888829028,35727.7260930911,37347.5108377822,38150.1837155026,39164.3827677372,137
33001.9015385271,40648.4115581705,39810.4514884327,35505.3288115285,42438.2681446196,"NSW                                                                                                                                                                                                                                                            ",31774.2986786872,"Warren (A)                                        ",35634.4861126998,40797.8316934654,33843.4014429304,37963.7388735277,32995.1808279787,36887.2453693029,"1                                                                                                                                                                                                                                                              ",36757.5788493561,35102.6349525903,35522.462588073,41192.0266792186,39314.4723419135,41267.948432599,39255.942444113,17950,35080.341674728,32545.0907448239,40097.9585456035,35196.008933,35589.7499283868,40313.5489348624,42440.0513241447,138
